ativo,capital_final,retorno_total,total_trades,trades_lucrativos,trades_perdedores,win_rate,profit_factor,max_drawdown,sharpe_ratio,lucro_medio,perda_media
BOVA11_1d,460.86222232055627,-0.9539137777679444,25,14,11,0.56,12.710170977210034,0.9595049374664801,0.3964693150650272,75.96148115321573,7.606368861111725
VALE3_1d,218.42771438598814,-0.9781572285614011,79,46,33,0.5822784810126582,14.486462146354231,0.9793725247709156,0.47813910180170055,56.01674916607405,5.390132704185714
BBAS3_1d,78.14127859115794,-0.9921858721408842,130,72,58,0.5538461538461539,10.166432910860683,0.9932017213183635,0.18022844933015372,49.257891996330734,6.014668914022109
PETR4_1d,61.96941061735412,-0.9938030589382646,173,95,78,0.5491329479768786,4.918542722037109,0.9949761082733628,0.24753160161295026,41.26408521627129,10.2179736004548
